Date,Year,PeakDate,Bloom
1921-03-06,1921,03-06,1
1921-03-07,1921,03-07,1
1921-03-08,1921,03-08,1
1921-03-09,1921,03-09,1
1921-03-10,1921,03-10,1
1921-03-11,1921,03-11,1
1921-03-12,1921,03-12,1
1921-03-13,1921,03-13,1
1921-03-14,1921,03-14,1
1921-03-15,1921,03-15,1
1921-03-16,1921,03-16,1
1921-03-17,1921,03-17,1
1921-03-18,1921,03-18,1
1921-03-19,1921,03-19,1
1921-03-20,1921,03-20,1
1921-03-21,1921,03-21,1
1921-03-22,1921,03-22,1
1921-03-23,1921,03-23,1
1921-03-24,1921,03-24,1
1921-03-25,1921,03-25,1
1921-03-26,1921,03-26,1
1921-03-27,1921,03-27,1
1922-03-24,1922,03-24,1
1922-03-25,1922,03-25,1
1922-03-26,1922,03-26,1
1922-03-27,1922,03-27,1
1922-03-28,1922,03-28,1
1922-03-29,1922,03-29,1
1922-03-30,1922,03-30,1
1922-03-31,1922,03-31,1
1922-04-01,1922,04-01,1
1922-04-02,1922,04-02,1
1922-04-03,1922,04-03,1
1922-04-04,1922,04-04,1
1922-04-05,1922,04-05,1
1922-04-06,1922,04-06,1
1922-04-07,1922,04-07,1
1922-04-08,1922,04-08,1
1922-04-09,1922,04-09,1
1922-04-10,1922,04-10,1
1922-04-11,1922,04-11,1
1922-04-12,1922,04-12,1
1922-04-13,1922,04-13,1
1922-04-14,1922,04-14,1
1923-03-26,1923,03-26,1
1923-03-27,1923,03-27,1
1923-03-28,1923,03-28,1
1923-03-29,1923,03-29,1
1923-03-30,1923,03-30,1
1923-03-31,1923,03-31,1
1923-04-01,1923,04-01,1
1923-04-02,1923,04-02,1
1923-04-03,1923,04-03,1
1923-04-04,1923,04-04,1
1923-04-05,1923,04-05,1
1923-04-06,1923,04-06,1
1923-04-07,1923,04-07,1
1923-04-08,1923,04-08,1
1923-04-09,1923,04-09,1
1923-04-10,1923,04-10,1
1923-04-11,1923,04-11,1
1923-04-12,1923,04-12,1
1923-04-13,1923,04-13,1
1923-04-14,1923,04-14,1
1923-04-15,1923,04-15,1
1923-04-16,1923,04-16,1
1924-03-30,1924,03-30,1
1924-03-31,1924,03-31,1
1924-04-01,1924,04-01,1
1924-04-02,1924,04-02,1
1924-04-03,1924,04-03,1
1924-04-04,1924,04-04,1
1924-04-05,1924,04-05,1
1924-04-06,1924,04-06,1
1924-04-07,1924,04-07,1
1924-04-08,1924,04-08,1
1924-04-09,1924,04-09,1
1924-04-10,1924,04-10,1
1924-04-11,1924,04-11,1
1924-04-12,1924,04-12,1
1924-04-13,1924,04-13,1
1924-04-14,1924,04-14,1
1924-04-15,1924,04-15,1
1924-04-16,1924,04-16,1
1924-04-17,1924,04-17,1
1924-04-18,1924,04-18,1
1924-04-19,1924,04-19,1
1924-04-20,1924,04-20,1
1925-03-13,1925,03-13,1
1925-03-14,1925,03-14,1
1925-03-15,1925,03-15,1
1925-03-16,1925,03-16,1
1925-03-17,1925,03-17,1
1925-03-18,1925,03-18,1
1925-03-19,1925,03-19,1
1925-03-20,1925,03-20,1
1925-03-21,1925,03-21,1
1925-03-22,1925,03-22,1
1925-03-23,1925,03-23,1
1925-03-24,1925,03-24,1
1925-03-25,1925,03-25,1
1925-03-26,1925,03-26,1
1925-03-27,1925,03-27,1
1925-03-28,1925,03-28,1
1925-03-29,1925,03-29,1
1925-03-30,1925,03-30,1
1925-03-31,1925,03-31,1
1925-04-01,1925,04-01,1
1925-04-02,1925,04-02,1
1925-04-03,1925,04-03,1
1926-03-28,1926,03-28,1
1926-03-29,1926,03-29,1
1926-03-30,1926,03-30,1
1926-03-31,1926,03-31,1
1926-04-01,1926,04-01,1
1926-04-02,1926,04-02,1
1926-04-03,1926,04-03,1
1926-04-04,1926,04-04,1
1926-04-05,1926,04-05,1
1926-04-06,1926,04-06,1
1926-04-07,1926,04-07,1
1926-04-08,1926,04-08,1
1926-04-09,1926,04-09,1
1926-04-10,1926,04-10,1
1926-04-11,1926,04-11,1
1926-04-12,1926,04-12,1
1926-04-13,1926,04-13,1
1926-04-14,1926,04-14,1
1926-04-15,1926,04-15,1
1926-04-16,1926,04-16,1
1926-04-17,1926,04-17,1
1926-04-18,1926,04-18,1
1927-03-06,1927,03-06,1
1927-03-07,1927,03-07,1
1927-03-08,1927,03-08,1
1927-03-09,1927,03-09,1
1927-03-10,1927,03-10,1
1927-03-11,1927,03-11,1
1927-03-12,1927,03-12,1
1927-03-13,1927,03-13,1
1927-03-14,1927,03-14,1
1927-03-15,1927,03-15,1
1927-03-16,1927,03-16,1
1927-03-17,1927,03-17,1
1927-03-18,1927,03-18,1
1927-03-19,1927,03-19,1
1927-03-20,1927,03-20,1
1927-03-21,1927,03-21,1
1927-03-22,1927,03-22,1
1927-03-23,1927,03-23,1
1927-03-24,1927,03-24,1
1927-03-25,1927,03-25,1
1927-03-26,1927,03-26,1
1927-03-27,1927,03-27,1
1928-03-25,1928,03-25,1
1928-03-26,1928,03-26,1
1928-03-27,1928,03-27,1
1928-03-28,1928,03-28,1
1928-03-29,1928,03-29,1
1928-03-30,1928,03-30,1
1928-03-31,1928,03-31,1
1928-04-01,1928,04-01,1
1928-04-02,1928,04-02,1
1928-04-03,1928,04-03,1
1928-04-04,1928,04-04,1
1928-04-05,1928,04-05,1
1928-04-06,1928,04-06,1
1928-04-07,1928,04-07,1
1928-04-08,1928,04-08,1
1928-04-09,1928,04-09,1
1928-04-10,1928,04-10,1
1928-04-11,1928,04-11,1
1928-04-12,1928,04-12,1
1928-04-13,1928,04-13,1
1928-04-14,1928,04-14,1
1928-04-15,1928,04-15,1
1929-03-17,1929,03-17,1
1929-03-18,1929,03-18,1
1929-03-19,1929,03-19,1
1929-03-20,1929,03-20,1
1929-03-21,1929,03-21,1
1929-03-22,1929,03-22,1
1929-03-23,1929,03-23,1
1929-03-24,1929,03-24,1
1929-03-25,1929,03-25,1
1929-03-26,1929,03-26,1
1929-03-27,1929,03-27,1
1929-03-28,1929,03-28,1
1929-03-29,1929,03-29,1
1929-03-30,1929,03-30,1
1929-03-31,1929,03-31,1
1929-04-01,1929,04-01,1
1929-04-02,1929,04-02,1
1929-04-03,1929,04-03,1
1929-04-04,1929,04-04,1
1929-04-05,1929,04-05,1
1929-04-06,1929,04-06,1
1929-04-07,1929,04-07,1
1930-03-18,1930,03-18,1
1930-03-19,1930,03-19,1
1930-03-20,1930,03-20,1
1930-03-21,1930,03-21,1
1930-03-22,1930,03-22,1
1930-03-23,1930,03-23,1
1930-03-24,1930,03-24,1
1930-03-25,1930,03-25,1
1930-03-26,1930,03-26,1
1930-03-27,1930,03-27,1
1930-03-28,1930,03-28,1
1930-03-29,1930,03-29,1
1930-03-30,1930,03-30,1
1930-03-31,1930,03-31,1
1930-04-01,1930,04-01,1
1930-04-02,1930,04-02,1
1930-04-03,1930,04-03,1
1930-04-04,1930,04-04,1
1930-04-05,1930,04-05,1
1930-04-06,1930,04-06,1
1930-04-07,1930,04-07,1
1930-04-08,1930,04-08,1
1931-03-28,1931,03-28,1
1931-03-29,1931,03-29,1
1931-03-30,1931,03-30,1
1931-03-31,1931,03-31,1
1931-04-01,1931,04-01,1
1931-04-02,1931,04-02,1
1931-04-03,1931,04-03,1
1931-04-04,1931,04-04,1
1931-04-05,1931,04-05,1
1931-04-06,1931,04-06,1
1931-04-07,1931,04-07,1
1931-04-08,1931,04-08,1
1931-04-09,1931,04-09,1
1931-04-10,1931,04-10,1
1931-04-11,1931,04-11,1
1931-04-12,1931,04-12,1
1931-04-13,1931,04-13,1
1931-04-14,1931,04-14,1
1931-04-15,1931,04-15,1
