date,time,Cloud Coverage (%),Temperature (Fahrenheit),Wind speed (mph),rain (inches),relative humidity (%),visibility (miles),cherry,bonus
2025-01-01,0:00:00,64,38.3,1.99,0.0,95,9.94,0,0
2025-01-01,1:00:00,53,37.22,0.18,0.0,93,9.94,0,0
2025-01-01,2:00:00,61,36.32,2.68,0.0,94,6.21,0,0
2025-01-01,3:00:00,78,37.04,1.57,0.0,92,6.21,0,0
2025-01-01,4:00:00,79,36.32,1.43,0.0,96,6.21,0,0
2025-01-01,5:00:00,43,35.6,1.81,0.0,92,6.21,0,0
2025-01-01,6:00:00,64,35.42,3.58,0.0,96,6.21,0,0
2025-01-01,7:00:00,31,35.24,0.47,0.0,90,6.21,0,0
2025-01-01,8:00:00,35,34.52,2.01,0.0,93,6.21,0,0
2025-01-01,9:00:00,25,35.06,1.03,0.0,95,6.21,0,0
2025-01-01,10:00:00,78,38.12,0.89,0.0,97,6.21,0,0
2025-01-01,11:00:00,40,40.46,3.58,0.0,91,6.21,0,0
2025-01-01,12:00:00,50,42.26,3.15,0.0,89,6.21,0,0
2025-01-01,13:00:00,54,43.52,0.43,0.0,88,9.94,0,0
2025-01-01,14:00:00,49,45.14,1.59,0.0,85,9.94,0,0
2025-01-01,15:00:00,53,45.86,1.1,0.0,84,9.94,0,0
2025-01-01,16:00:00,68,44.78,1.68,0.0,88,9.94,0,0
2025-01-01,17:00:00,72,42.26,5.12,0.0,93,9.94,0,0
2025-01-01,18:00:00,67,40.46,3.67,0.0,96,9.94,0,0
2025-01-01,19:00:00,65,39.38,3.31,0.0,94,9.94,0,0
2025-01-01,20:00:00,60,38.66,3.0,0.0,94,9.94,0,0
2025-01-01,21:00:00,50,38.12,3.22,0.0,94,6.21,0,0
2025-01-01,22:00:00,64,37.94,3.6,0.0,93,6.21,0,0
2025-01-01,23:00:00,41,38.12,3.65,0.0,93,6.21,0,0
2025-01-02,0:00:00,73,37.76,3.04,0.0,90,6.21,0,0
2025-01-02,1:00:00,64,37.58,4.81,0.0,92,6.21,0,0
2025-01-02,2:00:00,62,38.12,3.38,0.0,88,6.21,0,0
2025-01-02,3:00:00,32,37.76,3.4,0.0,90,6.21,0,0
2025-01-02,4:00:00,55,38.48,4.5,0.0,89,6.21,0,0
2025-01-02,5:00:00,77,39.2,4.27,0.0,92,6.21,0,0
2025-01-02,6:00:00,78,39.92,3.18,0.0,92,6.21,0,0
2025-01-02,7:00:00,82,39.74,3.04,0.0,83,9.94,0,0
2025-01-02,8:00:00,81,39.92,1.7,0.0,79,9.94,0,0
2025-01-02,9:00:00,82,40.28,5.55,0.01,89,6.21,0,0
2025-01-02,10:00:00,90,41.72,2.73,0.03,91,6.21,0,0
2025-01-02,11:00:00,100,43.34,1.74,0.05,96,6.21,0,0
2025-01-02,12:00:00,86,43.88,1.86,0.03,93,6.21,0,0
2025-01-02,13:00:00,85,44.06,2.77,0.06,94,6.21,0,0
2025-01-02,14:00:00,85,44.6,1.72,0.04,93,6.21,0,0
2025-01-02,15:00:00,84,44.6,1.3,0.04,92,6.21,0,0
2025-01-02,16:00:00,86,43.88,1.03,0.04,94,9.94,0,0
2025-01-02,17:00:00,89,43.34,3.74,0.09,94,6.21,0,0
2025-01-02,18:00:00,93,43.34,7.16,0.0,92,9.94,0,0
2025-01-02,19:00:00,92,43.7,1.03,0.01,89,9.94,0,0
2025-01-02,20:00:00,88,43.7,5.06,0.0,92,9.94,0,0
2025-01-02,21:00:00,85,42.98,2.42,0.0,89,9.94,0,0
2025-01-02,22:00:00,80,43.52,2.53,0.02,88,9.94,0,0
2025-01-02,23:00:00,72,42.98,4.0,0.02,90,9.94,0,0
2025-01-03,0:00:00,59,42.8,0.81,0.0,92,9.94,0,0
2025-01-03,1:00:00,62,42.44,0.13,0.0,93,9.94,0,0
2025-01-03,2:00:00,65,41.9,7.16,0.0,91,9.94,0,0
2025-01-03,3:00:00,76,41.0,6.26,0.0,91,9.94,0,0
2025-01-03,4:00:00,73,41.54,0.02,0.0,91,9.94,0,0
2025-01-03,5:00:00,90,41.72,1.23,0.0,90,9.94,0,0
2025-01-03,6:00:00,88,40.82,7.16,0.0,90,9.94,0,0
2025-01-03,7:00:00,49,40.1,0.69,0.0,92,9.94,0,0
2025-01-03,8:00:00,68,39.92,0.49,0.0,94,9.94,0,0
2025-01-03,9:00:00,74,40.46,7.16,0.0,94,9.94,0,0
2025-01-03,10:00:00,75,42.44,6.26,0.0,91,9.94,0,0
2025-01-03,11:00:00,67,48.02,1.72,0.0,79,9.94,0,0
2025-01-03,12:00:00,83,46.58,4.14,0.0,85,9.94,0,0
2025-01-03,13:00:00,83,47.12,2.1,0.01,84,9.94,0,0
2025-01-03,14:00:00,81,47.12,6.29,0.03,89,6.21,0,0
2025-01-03,15:00:00,88,46.76,5.86,0.01,90,6.21,0,0
2025-01-03,16:00:00,100,45.5,5.97,0.0,93,6.21,0,0
2025-01-03,17:00:00,98,45.68,8.17,0.0,95,6.21,0,0
2025-01-03,18:00:00,91,45.68,6.24,0.04,95,9.94,0,0
2025-01-03,19:00:00,81,45.86,7.99,0.06,94,6.21,0,0
2025-01-03,20:00:00,87,45.5,9.48,0.26,94,9.94,0,0
2025-01-03,21:00:00,84,45.14,6.15,0.04,93,6.21,0,0
2025-01-03,22:00:00,90,44.78,7.4,0.0,95,6.21,0,0
2025-01-03,23:00:00,90,44.78,7.45,0.0,92,9.94,0,0
2025-01-04,0:00:00,91,44.24,6.04,0.01,94,9.94,0,0
2025-01-04,1:00:00,75,44.24,9.22,0.06,95,9.94,0,0
2025-01-04,2:00:00,73,44.24,5.17,0.01,94,9.94,0,0
2025-01-04,3:00:00,75,44.24,4.92,0.01,93,9.94,0,0
2025-01-04,4:00:00,73,44.06,6.64,0.06,94,9.94,0,0
2025-01-04,5:00:00,67,43.88,7.02,0.05,94,9.94,0,0
2025-01-04,6:00:00,90,42.98,4.99,0.11,94,9.94,0,0
2025-01-04,7:00:00,92,43.16,3.53,0.0,95,9.94,0,0
2025-01-04,8:00:00,87,42.8,8.95,0.0,95,9.94,0,0
2025-01-04,9:00:00,79,43.16,0.54,0.0,94,9.94,0,0
2025-01-04,10:00:00,76,43.34,0.67,0.0,94,6.21,0,0
2025-01-04,11:00:00,80,44.06,4.83,0.0,93,6.21,0,0
2025-01-04,12:00:00,83,44.42,5.12,0.0,94,6.21,0,0
2025-01-04,13:00:00,95,45.32,1.16,0.0,94,6.21,0,0
2025-01-04,14:00:00,88,44.96,4.47,0.0,94,6.21,0,0
2025-01-04,15:00:00,87,45.14,2.57,0.0,95,6.21,0,0
2025-01-04,16:00:00,90,45.32,2.3,0.0,98,6.21,0,0
2025-01-04,17:00:00,100,44.42,0.94,0.0,98,6.21,0,0
2025-01-04,18:00:00,48,42.44,3.76,0.0,97,9.94,0,0
2025-01-04,19:00:00,97,41.9,2.66,0.0,98,9.94,0,0
2025-01-04,20:00:00,100,41.36,2.26,0.0,97,6.21,0,0
2025-01-04,21:00:00,94,41.72,2.1,0.0,95,9.94,0,0
2025-01-04,22:00:00,100,42.08,3.76,0.0,96,9.94,0,0
2025-01-04,23:00:00,87,41.9,5.44,0.02,97,9.94,0,0
2025-01-05,0:00:00,29,41.54,8.41,0.0,94,9.94,0,0
2025-01-05,1:00:00,27,41.0,8.52,0.0,94,9.94,0,0
2025-01-05,2:00:00,67,40.46,8.93,0.0,95,9.94,0,0
2025-01-05,3:00:00,42,40.28,6.78,0.0,95,9.94,0,0
2025-01-05,4:00:00,76,41.36,3.83,0.0,93,6.21,0,0
2025-01-05,5:00:00,75,41.72,6.44,0.0,92,9.94,0,0
2025-01-05,6:00:00,77,41.9,4.7,0.0,92,9.94,0,0
2025-01-05,7:00:00,68,41.72,4.43,0.0,93,6.21,0,0
2025-01-05,8:00:00,82,42.26,4.74,0.0,95,9.94,0,0
2025-01-05,9:00:00,88,42.62,5.41,0.0,95,9.94,0,0
2025-01-05,10:00:00,89,43.34,9.17,0.0,93,9.94,0,0
2025-01-05,11:00:00,87,44.6,10.94,0.0,88,9.94,0,0
2025-01-05,12:00:00,77,45.5,8.23,0.01,87,9.94,0,0
2025-01-05,13:00:00,83,45.68,10.38,0.03,84,9.94,0,0
2025-01-05,14:00:00,90,45.14,14.65,0.11,87,6.21,0,0
2025-01-05,15:00:00,91,45.32,9.24,0.08,88,6.21,0,0
2025-01-05,16:00:00,90,44.96,6.98,0.04,93,6.21,0,0
2025-01-05,17:00:00,92,44.24,4.21,0.16,92,6.21,0,0
2025-01-05,18:00:00,88,44.42,7.67,0.05,92,9.94,0,0
2025-01-05,19:00:00,91,44.6,12.46,0.01,94,9.94,0,0
2025-01-05,20:00:00,92,44.6,8.55,0.03,94,6.21,0,0
2025-01-05,21:00:00,88,44.42,9.51,0.0,93,6.21,0,0
2025-01-05,22:00:00,87,44.24,3.2,0.04,95,6.21,0,0
2025-01-05,23:00:00,85,43.88,11.36,0.04,94,6.21,0,0
2025-01-06,0:00:00,93,43.34,10.94,0.07,93,6.21,0,0
2025-01-06,1:00:00,96,43.34,10.83,0.14,94,6.21,0,0
2025-01-06,2:00:00,95,42.98,15.35,0.02,92,6.21,0,0
2025-01-06,3:00:00,85,40.28,14.85,0.07,97,9.94,0,0
2025-01-06,4:00:00,85,41.0,9.19,0.18,96,6.21,0,0
2025-01-06,5:00:00,86,40.1,2.1,0.12,94,6.21,0,0
2025-01-06,6:00:00,91,39.92,3.42,0.01,97,6.21,0,0
2025-01-06,7:00:00,76,39.56,2.68,0.01,97,9.94,0,0
2025-01-06,8:00:00,82,39.74,0.89,0.0,97,9.94,0,0
2025-01-06,9:00:00,86,39.38,0.4,0.0,95,9.94,0,0
2025-01-06,10:00:00,84,39.92,0.72,0.0,93,9.94,0,0
2025-01-06,11:00:00,68,41.0,3.98,0.0,92,9.94,0,0
2025-01-06,12:00:00,40,41.9,3.89,0.0,90,9.94,0,0
2025-01-06,13:00:00,42,42.8,11.41,0.0,87,9.94,0,0
2025-01-06,14:00:00,100,42.44,4.81,0.0,88,9.94,0,0
2025-01-06,15:00:00,92,42.8,5.64,0.0,88,9.94,0,0
2025-01-06,16:00:00,85,42.8,1.63,0.07,89,9.94,0,0
2025-01-06,17:00:00,90,39.38,0.65,0.02,93,6.21,0,0
2025-01-06,18:00:00,74,37.58,4.41,0.01,95,6.21,0,0
2025-01-06,19:00:00,83,37.58,2.06,0.01,98,9.94,0,0
2025-01-06,20:00:00,64,36.32,2.68,0.06,96,9.94,0,0
2025-01-06,21:00:00,56,36.86,2.66,0.0,97,9.94,0,0
2025-01-06,22:00:00,51,37.04,3.76,0.01,96,6.21,0,0
2025-01-06,23:00:00,100,37.58,3.13,0.0,95,6.21,0,0
2025-01-07,0:00:00,100,37.04,2.59,0.0,94,6.21,0,0
2025-01-07,1:00:00,100,37.76,7.58,0.0,94,6.21,0,0
2025-01-07,2:00:00,75,37.22,3.18,0.0,94,6.21,0,0
2025-01-07,3:00:00,82,36.86,2.21,0.06,97,6.21,0,0
2025-01-07,4:00:00,99,37.04,4.81,0.0,96,6.21,0,0
2025-01-07,5:00:00,91,36.5,5.44,0.01,96,6.21,0,0
